term,term_label,parent_term,parent_label
ENVO:01000752,area of barren land,ENVO:01001199,terrestrial environmental zone
ENVO:01001057,environment associated with a plant part or small plant,ENVO:01001110,ecosystem
ENVO:01001041,fungi-associated environment,ENVO:01001058,environment associated with a fungal tissue
ENVO:01001033,digestive tract environment,ENVO:01001110,ecosystem
ENVO:01001056,environment determined by a biofilm on a saline surface,ENVO:01001110,ecosystem
ENVO:01001381,oceanic mussel reef,ENVO:01001386,mussel reef
ENVO:01001382,area of attached mussel assemblages,ENVO:01001201,marine environmental zone
ENVO:01001385,Bathymodiolus-dominated oceanic mussel reef,ENVO:01001381,oceanic mussel reef
ENVO:01001386,mussel reef,ENVO:01000143,marine reef
ENVO:01000666,area of open water,ENVO:01000408,environmental zone
ENVO:01000746,area of perennial ice or snow,ENVO:01000408,environmental zone
ENVO:01000843,area of evergreen forest,ENVO:01001305,vegetated area
ENVO:01000869,area of scrub,ENVO:01001293,bush area
ENVO:01000883,area of developed open space,ENVO:01001200,anthropised terrestrial environmental zone
ENVO:01000884,area of developed space with low usage intensity,ENVO:01001269,area of developed space
ENVO:01000886,area of developed space with high usage intensity,ENVO:01001269,area of developed space
ENVO:01000889,area of lichen-dominated vegetation,ENVO:01001305,vegetated area
ENVO:01000890,area of moss-dominated vegetation,ENVO:01001305,vegetated area
ENVO:01000893,area of woody wetland,ENVO:01001305,vegetated area
ENVO:01000894,area of emergent herbaceous wetland,ENVO:00000043,wetland area
ENVO:01000888,area of gramanoid or herbaceous vegetation,ENVO:00000106,grassland area
ENVO:01000816,area of deciduous forest,ENVO:01001199,terrestrial environmental zone
ENVO:01001050,saline sediment environment,ENVO:01001048,sediment environment
ENVO:01000887,area of sedge- and forb-dominated herbaceous vegetation,ENVO:01001305,vegetated area
ENVO:01001365,atmospheric secondary aerosol formation process,ENVO:01001368,secondary aerosol formation process
ENVO:01001035,environment determined by a biofilm on a fungal surface,ENVO:01001110,ecosystem
ENVO:01001034,environment determined by a biofilm on an animal surface,ENVO:01001110,ecosystem
ENVO:01000999,rhizosphere environment,ENVO:01000254,environmental system
